,PC1,PC2,PC3
y_3m,0.3292197159272313,-0.4457567961357263,0.5143832153622747
y_6m,0.33143483586659883,-0.40096539416600274,0.21772303349952726
y_1y,0.33407103637013774,-0.3135454986238149,-0.0892321986523868
y_2y,0.33709758995770134,-0.14040911175274975,-0.3658049329758277
y_3y,0.33780004977036343,-0.026409521113025546,-0.42083323887967006
y_5y,0.3369854685271731,0.1578177881168635,-0.29409704017634514
y_7y,0.33521504347112957,0.267327966951292,-0.13226069579394853
y_10y,0.33252661253816346,0.3700030279382571,0.09841212675707374
y_30y,0.32544728095863623,0.5371514994490407,0.5054299475103872
