,y_3m,y_6m,y_1y,y_2y,y_3y,y_5y,y_7y,y_10y,y_30y
1992-01-01,-0.5520149433573032,-0.4213406251831757,-0.28162256985853446,-0.06762293524889974,0.037797416411033215,0.19452520094706055,0.28781750024928776,0.34326752664457405,0.4403717064773879
1992-02-01,-0.5486035688356109,-0.4203787837602956,-0.2833988480024005,-0.07080287149544523,0.03455328725665245,0.19400411473836654,0.28775177895864507,0.34448818663455083,0.44348971300772344
1992-03-01,-0.5454204282184623,-0.4179215711719815,-0.2853852136015418,-0.0740524502355703,0.031318383439369324,0.19239557856037162,0.284934624951605,0.3453898340519807,0.44994538951881774
1992-04-01,-0.5447764895619897,-0.4177629964588049,-0.2870469047471207,-0.07403222449515771,0.031482659202792376,0.1931390145203972,0.2836808003060533,0.34529670835009646,0.4503526500439281
1992-05-01,-0.5434315935846421,-0.4174697549399491,-0.28933237900929604,-0.07544714136465168,0.031558865911108853,0.1944974533634134,0.2830801453026724,0.34657069324790274,0.449360406195069
1992-06-01,-0.5412431465787468,-0.41759266265413175,-0.2917638259121832,-0.07704225218364023,0.030907486762590412,0.1962475006261988,0.28299426168259134,0.346888895569451,0.44913758848692314
1992-07-01,-0.5392878737102377,-0.4171759088589473,-0.29299075908416394,-0.07931327452334327,0.029174966449767636,0.19640585839631056,0.28294675263896124,0.34717649876644335,0.45053506401619303
1992-08-01,-0.5340020127047349,-0.41614967735589375,-0.29452093217476116,-0.08414554026533705,0.02498055435900326,0.1950151166021889,0.28213675938525745,0.34887192041075443,0.45592823270915245
1992-09-01,-0.5187898083771096,-0.41532712303588637,-0.3006004679059279,-0.0927588031976673,0.017348082285354574,0.1914569627910553,0.281491750251029,0.3522146535285484,0.4681305229731041
1992-10-01,-0.5014664261820604,-0.41327470808977745,-0.3070474267022846,-0.10295383096327972,0.007932608806696152,0.18767644999455416,0.2812585200682748,0.3552748015381315,0.4819189865807286
1992-11-01,-0.4946473041904207,-0.4099116087181458,-0.30827845074511495,-0.10842410712264537,0.0014277752890856231,0.18472544299068572,0.28045082542355837,0.35651477183264657,0.49053455683578456
1992-12-01,-0.4920923380939736,-0.40861865991369717,-0.3087224313416826,-0.11060042844714105,-0.0006433608611280337,0.18394482294422876,0.2795579116514348,0.356453472700238,0.49425308416354585
1993-01-01,-0.4902765769088593,-0.4079622501546918,-0.3092147748073176,-0.11201283385670835,-0.0018569309563117248,0.18402158830889803,0.2789857303125032,0.35600336666156246,0.49658453532790187
1993-02-01,-0.48883290061196283,-0.4069345828773186,-0.3090925301493573,-0.11338654288227178,-0.003484448813343066,0.18364260028058843,0.27816966852324054,0.3555156616517958,0.49954523724027244
1993-03-01,-0.48750412943416754,-0.40578269425941715,-0.3084296628945044,-0.11468922914381158,-0.005290230833921179,0.1825543246710227,0.2770076288816005,0.35503552988762144,0.5032495709385384
1993-04-01,-0.486493527707835,-0.4048991143678438,-0.30791830529032865,-0.11555779663923624,-0.0065658724975249565,0.1814774063439427,0.27617983853534966,0.3544044068420536,0.5063185964272697
1993-05-01,-0.4852187061169608,-0.4039267564234735,-0.307405760359223,-0.11660130362805017,-0.008052884567885468,0.18026577784096118,0.27516872095474665,0.3539165476110395,0.5096827149260047
1993-06-01,-0.4842608298781592,-0.40305534637533963,-0.30684433813617296,-0.1173304045126934,-0.009277432554941293,0.1790667244601191,0.2741465000641589,0.35336642766300297,0.5127795495865692
1993-07-01,-0.48370380033111204,-0.4026146982045606,-0.30648375989832694,-0.11754209743047286,-0.009887870363150541,0.17831166901340018,0.2732869173932624,0.35271756527566533,0.5149712198037403
1993-08-01,-0.4831399785484442,-0.4023258907932621,-0.3063581490858246,-0.11767007842069084,-0.010326228741823339,0.17774045687688964,0.2726331451912243,0.3521949666300852,0.516662025381713
1993-09-01,-0.48276154159033874,-0.4022147356631599,-0.3063830664695284,-0.11770561857971795,-0.01058017713026391,0.17744451107323414,0.272286533067385,0.35202636198116377,0.5174730853238187
1993-10-01,-0.4824386579595479,-0.4020015861001707,-0.306572088991476,-0.11773213409274584,-0.01079493268645334,0.17714147678807982,0.2721118772241481,0.35193812470618036,0.5180727885287827
1993-11-01,-0.48202989867264423,-0.40178104849575913,-0.3065872850256741,-0.11797899041193258,-0.011125522240783371,0.17671212271079154,0.2719853844930227,0.3519554650851282,0.5187530337242046
1993-12-01,-0.4816588212674425,-0.40136309225819344,-0.3066637626384842,-0.11823583458242001,-0.011549641673759915,0.17613133907016604,0.27189882810144483,0.35209113529839337,0.5194586500089413
1994-01-01,-0.48138248290862357,-0.4013083287834014,-0.30643591788734814,-0.11835974338920914,-0.011871583788036641,0.17569509066217381,0.27167984743773904,0.35219737929668005,0.5200460526717928
1994-02-01,-0.4816174874875671,-0.4009965425120963,-0.3059439976191708,-0.1183734439741097,-0.012117639839245518,0.17516065604410494,0.27140465622877896,0.3521676707843298,0.520693497494082
1994-03-01,-0.482219665032461,-0.40095229456596077,-0.30515149108711537,-0.11815554950727737,-0.012012635503189092,0.1746185586135237,0.27116677347094253,0.3519987968707586,0.5211072531534325
1994-04-01,-0.48269592294261726,-0.40103898785149633,-0.30440422635379893,-0.11792195207467589,-0.011951438826848565,0.1741422166662903,0.27100340310104926,0.3518510769409655,0.5214350228380485
1994-05-01,-0.4833010527412873,-0.40080212018412553,-0.3037055883051495,-0.11794416591674149,-0.012081535820152109,0.1737797741093638,0.27111476040303234,0.35182987441621244,0.5215333114922803
1994-06-01,-0.4789270496054986,-0.40088071438255546,-0.305509752890266,-0.1197867543485629,-0.013706553499780632,0.1723634010856549,0.27143506014637286,0.3526546396269778,0.5237357730708443
1994-07-01,-0.46965674923767375,-0.3998585660403338,-0.30978766825211,-0.1241924277444729,-0.017838310914286868,0.1700186664940748,0.2720375822128548,0.3545165661869017,0.5284245569801403
1994-08-01,-0.4627696187893065,-0.39793589404571944,-0.31251873142709585,-0.128626932578172,-0.021634735847679214,0.16818623739165528,0.2726826553047583,0.3560194357105842,0.532370282348165
1994-09-01,-0.4603079987492095,-0.3972428090262915,-0.3133798280108829,-0.13029188736065564,-0.02269883790556918,0.16746129283235217,0.2728746268960592,0.3565988590962131,0.5338070571812782
1994-10-01,-0.45866245447196524,-0.39648941091011003,-0.3135618599265377,-0.1315620125133945,-0.02382792707051116,0.16668799751274618,0.27300116118154744,0.357211415881811,0.5350822446042233
1994-11-01,-0.456832807331206,-0.3955462430127359,-0.3132926565721004,-0.13292796078854568,-0.02561784815851402,0.1654798554403186,0.2730723366564987,0.3578854320546533,0.5369678613643323
1994-12-01,-0.45421534529506324,-0.3939332863448538,-0.3133003598211918,-0.1350753527016595,-0.02761619828581186,0.1633131195895386,0.27304175437048134,0.3585858470371809,0.5399380342905601
1995-01-01,-0.44844859049525987,-0.39102727839362694,-0.3148185300298987,-0.13834187527590455,-0.031409151195556984,0.16003159542499432,0.2716510261984783,0.3597454476958821,0.5458338890579777
1995-02-01,-0.44254137142451655,-0.3874642378963043,-0.31565837182023876,-0.14131062178129095,-0.03674260793921572,0.15575157820628296,0.2704412812617542,0.36096106024272545,0.5526117555994906
1995-03-01,-0.43939980234387027,-0.38435336434814565,-0.31457983605623374,-0.14319370966244258,-0.03990535485035665,0.15099986636169518,0.2685668773041345,0.36167646241252394,0.558931091673434
1995-04-01,-0.4322971372388115,-0.3825711240776401,-0.3144414198489999,-0.1461823661328075,-0.04395354795065405,0.14606425118271316,0.2668658325098344,0.36309497446604383,0.5658567102876639
1995-05-01,-0.4271346953913628,-0.38003641808548994,-0.31322323336734315,-0.1487236519261248,-0.04807061524696617,0.14094309321830054,0.2651212573880076,0.36399925304129105,0.5726607001083297
1995-06-01,-0.42727970381450964,-0.3789461403869859,-0.3114603874911349,-0.1491719831500687,-0.0485311395382875,0.1383106599785392,0.26419426804201024,0.3645730441021597,0.574782391814664
1995-07-01,-0.43071912426906406,-0.3798332258849513,-0.3099818117639325,-0.14772025711595466,-0.046821903560710997,0.1393297011588742,0.26337880667380287,0.3656345758257213,0.5723946744979614
1995-08-01,-0.4344257870689349,-0.38037844870029713,-0.30674968132682673,-0.14642287684110644,-0.04633995371490466,0.13996219846802802,0.2619174357280726,0.365890223774486,0.5716976807150268
1995-09-01,-0.4348722795560301,-0.37973510625296697,-0.3047702505779824,-0.14692197657794906,-0.047298644051379325,0.13884645272074506,0.2605849525658632,0.36692802355847587,0.5728526735342492
1995-10-01,-0.4347207424503919,-0.3780385213624369,-0.303330308397368,-0.1484068958848747,-0.04943941434112205,0.1384850306362296,0.2593441933190296,0.3684415518300181,0.5739685728216615
1995-11-01,-0.43587336724504305,-0.37861247173680423,-0.3014556355962583,-0.14809180906797006,-0.05005010646005283,0.13895721996855998,0.2587033634617518,0.36969984003243433,0.5730975446654454
1995-12-01,-0.44094003413688976,-0.3806541151226902,-0.2994341947681721,-0.14534420996257455,-0.04761783044254087,0.1411836541529247,0.25934323643588075,0.3696289072640709,0.5690376342766058
1996-01-01,-0.44415657856045865,-0.3830403144078702,-0.299725302689351,-0.14282032386712254,-0.04469002336858157,0.1441741741732845,0.26025740284234655,0.36963994175905723,0.564465372111468
1996-02-01,-0.44772373654665615,-0.3852495513831589,-0.3001210696506619,-0.14000636858180984,-0.04185999920336705,0.1474110120862602,0.26114591950555477,0.36910095730677717,0.5599435911083095
1996-03-01,-0.45071300425049676,-0.387119125958142,-0.3005175815012919,-0.13794083285460182,-0.039067115799338754,0.15009441588125552,0.26182523708011035,0.36831201713560496,0.5562349413716485
1996-04-01,-0.45067059231959683,-0.3866943473581358,-0.30076736662184755,-0.13853462453564647,-0.039306453171429064,0.15061674015785342,0.26199122617901227,0.3687480261584202,0.5557569062571208
1996-05-01,-0.44968674109907875,-0.3861162245699296,-0.3013626506846252,-0.13972793879090503,-0.039921089209366205,0.15085503317692267,0.2619231740175643,0.3697548635395051,0.5555892451263883
1996-06-01,-0.44938877380003633,-0.3860530897423404,-0.30208905836611055,-0.1404746503208688,-0.04020924775095514,0.15161163635649777,0.2626604679567911,0.37053741531863044,0.5541935093935281
1996-07-01,-0.44898186074511337,-0.3860014432477879,-0.3028651557032238,-0.14121525846795707,-0.040495702402950605,0.15224436968679042,0.26341428374751613,0.37131078531177325,0.552876196434311
1996-08-01,-0.4482644807442067,-0.3858330603209982,-0.30366661272734224,-0.14186985975467994,-0.040850446855119384,0.15248041680679514,0.2640457791946024,0.371899983055464,0.5521797973933614
1996-09-01,-0.4471498328640808,-0.38510121969159816,-0.30436730190379496,-0.1426792710504697,-0.04177647238843594,0.15236403445942057,0.2644462662391928,0.3723455171395596,0.5524709623158761
1996-10-01,-0.44606741680309786,-0.3844148670379235,-0.30490684620533653,-0.14346752086523146,-0.04251561459608417,0.15216762574151127,0.26458795210171304,0.37255334900961107,0.5531117510926518
1996-11-01,-0.4454133015027645,-0.38418017330478593,-0.30528766791471285,-0.14401185134745376,-0.042961929847974305,0.15244695154773968,0.26488595279977034,0.3727106663929962,0.5530904107723915
1996-12-01,-0.44508205018954256,-0.3840180177262927,-0.30567143147524095,-0.14443332631228406,-0.0431543364665104,0.1527718790427588,0.26554035568916934,0.37294453371955083,0.5525715079317287
1997-01-01,-0.4436235275833572,-0.38360652721635025,-0.3065083499238544,-0.14530693000410336,-0.04382696942930735,0.15262718026006583,0.2660664749771659,0.3733654809849464,0.552787223685441
1997-02-01,-0.4426094683019079,-0.382901574385662,-0.30707481889475025,-0.14609278245161522,-0.04449007541117539,0.15233435446391674,0.26633562393170884,0.37372409757938846,0.5532230195609491
1997-03-01,-0.4417589166351567,-0.3822833506100257,-0.3075279881444049,-0.1468758601572649,-0.04510488693446991,0.15217070727168755,0.26669643559415424,0.374143358084707,0.5534093435208317
1997-04-01,-0.44050843072632007,-0.3815639389522719,-0.3078267530702029,-0.14776302259216315,-0.04603840152480469,0.15158933515699807,0.26671779711977955,0.374759991790729,0.5541550022360444
1997-05-01,-0.4387690102877208,-0.38086206068206524,-0.30832946878784745,-0.14888200118682182,-0.047273970435215716,0.15125745446539704,0.26682410564177395,0.37528356449013817,0.5550193075954561
1997-06-01,-0.4339393468484961,-0.3787165858546127,-0.30979093823705056,-0.15226388310465722,-0.050463150088449885,0.15026609528176418,0.2671411490149965,0.3765372250647577,0.5575343676212505
1997-07-01,-0.43035733266373605,-0.37694928352065005,-0.3106747039102928,-0.15514589013096744,-0.05309514277855154,0.14974363668182933,0.26744413641896475,0.3776787281891112,0.5591984855637039
1997-08-01,-0.4283578963486508,-0.37445091425575955,-0.3111294922280752,-0.1576690275158559,-0.05551258301105154,0.14932125023829615,0.2678131844188053,0.37872677335498445,0.5604449919726127
1997-09-01,-0.42651971138183303,-0.3721477226501889,-0.3112651062380169,-0.1600893946039064,-0.05786521422817475,0.14903565014488154,0.2678831144239252,0.3797231366697887,0.5617485168253158
1997-10-01,-0.4215887861301223,-0.3686140402619331,-0.313054375664286,-0.16377747550173116,-0.06173587494230854,0.14811643759909177,0.26763386418506374,0.38120487864916464,0.564681891882799
1997-11-01,-0.4134424199805975,-0.36618128526035093,-0.31430290420175777,-0.168525267578862,-0.06682436492979733,0.14639621113599785,0.2668144491233824,0.3830747974444484,0.569171286347187
1997-12-01,-0.4092207761346768,-0.3651408501109306,-0.31473903530434055,-0.17122080994122957,-0.06900564442695807,0.14618551445167016,0.2661386663480144,0.38373725991430646,0.5715043585909416
1998-01-01,-0.4032188136766571,-0.3644954327625295,-0.31614249686109397,-0.1742449525463977,-0.07132886918047804,0.1461184863456288,0.26571971337268857,0.384416913265681,0.5739586544977789
1998-02-01,-0.4018637355220933,-0.3651021585132634,-0.31691564442351766,-0.17505176919190113,-0.07108959009554536,0.1476996082882794,0.26614751126847286,0.3844941839222003,0.5732260679790592
1998-03-01,-0.4023404084968714,-0.3657198900351126,-0.3176330932879195,-0.17498853051781493,-0.06985197095386692,0.14929645587665027,0.26657170276253955,0.3848793174132313,0.5714001213590839
1998-04-01,-0.40104664625739106,-0.36478305183646664,-0.31901783310098103,-0.17638801412715685,-0.06995901586346683,0.15035119649314224,0.2666413727973379,0.38571922682143417,0.5708179337055967
1998-05-01,-0.3978710415282366,-0.36400932603191255,-0.3206135569643673,-0.1783533941603865,-0.0708849674749172,0.15087578479665614,0.2666808667815808,0.3866536532455968,0.5711260328768841
1998-06-01,-0.3937340572454382,-0.3630377806385453,-0.32218364463464855,-0.18058173647659811,-0.07226437238227579,0.15104897748486754,0.2664600445943564,0.3875390416585921,0.5723107549969697
1998-07-01,-0.39064972488259864,-0.36242128974478705,-0.32330612077317744,-0.1820895087201025,-0.07295867282691881,0.15125478057365,0.2665883025008552,0.3883455060402116,0.5729551750308064
1998-08-01,-0.38790628540583627,-0.361572979793922,-0.3244240758037157,-0.18359285598452232,-0.07370428675995878,0.15179904936956481,0.2669447538320362,0.3891545460476809,0.573289055112358
1998-09-01,-0.3856483849221027,-0.3617135111358395,-0.3255819297329796,-0.1844692268616155,-0.07329968075181048,0.15279821300584784,0.267637871762071,0.3895159876870324,0.5730037506683111
1998-10-01,-0.3883497040532177,-0.3648320523422222,-0.32637030602894396,-0.18255726602203157,-0.06973326781446938,0.15645819891861334,0.2694306348224871,0.38908948997126924,0.5682534241645912
1998-11-01,-0.39142979111073384,-0.3684567096461212,-0.32745175840283786,-0.1796234721132974,-0.06645857466863885,0.16049308565924514,0.27051253486247295,0.3881788939055364,0.5634700240915704
1998-12-01,-0.39424335050700937,-0.3709363570491257,-0.327922946765085,-0.17753347440217188,-0.06371069177835144,0.1639608438290414,0.2716296962167964,0.3876142732363041,0.559425668710672
1999-01-01,-0.39669320856628604,-0.3735400794373475,-0.32909862199600526,-0.17570914135509932,-0.06051496961238353,0.1676986528360611,0.2732826757108592,0.3875226090283097,0.5543289717432212
1999-02-01,-0.3988393733670392,-0.3752272532844386,-0.3298776476884082,-0.1747380738597561,-0.05816685780235133,0.17087259078979322,0.27478929325024704,0.3880337791597029,0.5496533549978582
1999-03-01,-0.40022059481138017,-0.37612130687504586,-0.3306052118962905,-0.17424136043562785,-0.0564976451897014,0.1735543588246169,0.2760924261277397,0.38863298053082823,0.546004266909701
1999-04-01,-0.40099365719775076,-0.3768481768485691,-0.3313669330752647,-0.17409862854875657,-0.0551081997407896,0.17639471083141123,0.27740445434940536,0.3893334798530536,0.5425765975228464
1999-05-01,-0.4016828108701408,-0.3777402264367455,-0.332290643854779,-0.17393060521447773,-0.053628663809699155,0.17908685618354936,0.2788110917685285,0.38975994872185094,0.5391639223823691
1999-06-01,-0.40247593794319303,-0.37840477658677796,-0.3323341878305282,-0.1736287226359389,-0.05244308797542277,0.18090026468446752,0.2794416780768573,0.38988806015252353,0.5372657299443888
1999-07-01,-0.40262258387692623,-0.3791573346590771,-0.3322377419289556,-0.17367100983273004,-0.05173439033959307,0.18210838699846335,0.2797573967193277,0.3901002976085251,0.5360120136113506
1999-08-01,-0.40247678086545047,-0.3784738833113926,-0.3320201131729916,-0.17435291662637353,-0.05183453206411848,0.1824395353231694,0.27965509628798,0.39091625551492765,0.5358546173720606
1999-09-01,-0.402736608591216,-0.3788875876688479,-0.33184126837892447,-0.1743865803628961,-0.051233959196330225,0.18362125231827658,0.27944610143437854,0.3913116148020954,0.5349406759979736
1999-10-01,-0.4030524274675973,-0.37958978214949224,-0.33218968983493874,-0.1742053448783408,-0.05033685444956588,0.18501248961145642,0.2797400118017461,0.39163931005068964,0.5332575383203095
1999-11-01,-0.4033319712204622,-0.3798022447398003,-0.3323650714137036,-0.17432754342191936,-0.049627080524718925,0.18603129210562547,0.27983903266349125,0.39208313209903245,0.5320783657960045
1999-12-01,-0.40329913284715646,-0.3799863342824928,-0.33243870070927645,-0.17435635764311386,-0.049188486542955503,0.18696860050667882,0.2797826821083286,0.39250184650966313,0.5313489931470683
2000-01-01,-0.4027697795156724,-0.38020791959642525,-0.33271388651080785,-0.1743678499957232,-0.04877758091546478,0.18751472146764578,0.2799693912200825,0.3926913790635185,0.5310229400108741
2000-02-01,-0.4026307611551716,-0.3800857718829034,-0.33284602404704144,-0.17422946741823456,-0.048141729268945936,0.188075684872254,0.2802726106196599,0.3927382975239842,0.5308433829297025
2000-03-01,-0.4015216037932774,-0.37930462283073374,-0.33208807283640684,-0.17426594837740678,-0.04805699995394734,0.18819699734796513,0.28040142206830054,0.39329211003949827,0.532189881085524
2000-04-01,-0.40076087677566036,-0.37890733096568985,-0.33134556501074797,-0.17414228984321492,-0.047468152417943804,0.18876986984620184,0.28124122242065963,0.39413193335071695,0.5323350808383428
2000-05-01,-0.399393391912998,-0.3785203789754647,-0.33069459811324114,-0.17440781853781587,-0.04680740911060235,0.19004820580577847,0.28263213043576674,0.395546221866055,0.531773681130694
2000-06-01,-0.3975337558002941,-0.3778505878049043,-0.32897126348760664,-0.1748941448797578,-0.046627246322168636,0.1910884444382009,0.2838899178662538,0.3969439049450056,0.5324837550052113
2000-07-01,-0.39697211153126866,-0.3780008131662699,-0.3276551502531133,-0.17471435503860885,-0.04572409365383011,0.1927770032748082,0.28560499857061994,0.3980127212092336,0.531420283187531
2000-08-01,-0.39832590586759814,-0.37828303300853283,-0.32541569068010384,-0.17354291827776258,-0.04401365034425474,0.19450877582569076,0.28717835238803535,0.39856072449922286,0.5302197477876179
2000-09-01,-0.39991175071227214,-0.37815354100465043,-0.32273320818130463,-0.171152585540353,-0.04205990344616361,0.19590903622387265,0.289120267674468,0.400041842012557,0.5290058311348952
